name,slug,description,address,city,state,zip,country,latitude,longitude,phone,email,website,denomination,church_network,worship_style,service_times,ministries,languages,kids_ministry,youth_ministry,college_ministry,small_groups,online_service,online_service_url,accessibility,parking_info,profile_image_url,gallery_urls,verified,claimed,featured,active
"Harmony Hall Baptist Church","harmony-hall-baptist-gainesville","Established Baptist church with community outreach and family ministry.","4160 Mangum Mill Road","Gainesville","GA","30501","US",34.3100,-83.8300,"(770) 536-0000","","harmonyhall.org","Baptist","","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Community Service, Youth Ministry","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Harmony Street Baptist Church","harmony-street-baptist-gainesville","Community Baptist church with spiritual formation focus.","1221 Harmony St","Gainesville","GA","30501","US",34.2875,-83.8310,"(770) 536-0000","","","Baptist","","Traditional","{""day"":""Sunday"",""time"":""10:30 AM""}","Sunday School, Youth Programs, Community Fellowship","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Lakeview Hills Baptist Church","lakeview-hills-baptist-main-gainesville","Family-oriented Baptist church with strong youth ministry programs.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","","Baptist","","Traditional","{""day"":""Sunday"",""time"":""9:30 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Children's Ministry, Youth Ministry, Small Groups, Sunday School","English",true,true,true,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Baker Glover Baptist Chapel","baker-glover-baptist-chapel-gainesville","Small Baptist chapel with intimate worship and community fellowship.","3527 Casper Dr Lot 150","Gainesville","GA","30501","US",34.2800,-83.8400,"(770) 536-0000","","","Baptist","","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Community Worship","English",true,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Belmont Baptist Church","belmont-baptist-gainesville","Southern Baptist congregation emphasizing discipleship and mission.","3635 Belmont Highway","Gainesville","GA","30507","US",34.2750,-83.8500,"(770) 536-0000","","belmontbc.org","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""9:30 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Sunday School, Mission Ministry, Youth Programs, Small Groups","English",true,true,true,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Bethel F Baptist Church","bethel-f-baptist-church-gainesville","Community Baptist with traditional worship and family focus.","8975 Bethel Road","Gainesville","GA","30501","US",34.3000,-83.8300,"(770) 536-0000","","","Baptist","","Traditional","{""day"":""Sunday"",""time"":""10:30 AM""}","Sunday School, Children's Ministry, Community Service","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Fairview Baptist Church","fairview-baptist-main-gainesville","Established Baptist church with strong community presence and ministry.","1076 Travis Drive","Gainesville","GA","30501","US",34.2750,-83.8300,"(770) 534-1003","","","Baptist","","Traditional","{""day"":""Sunday"",""time"":""10:30 AM""}","Sunday School, Youth Ministry, Community Outreach","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Mountain View Baptist Church","mountain-view-baptist-gainesville","Community Baptist with strong family and youth ministry focus.","3765 Mountain View Road","Gainesville","GA","30501","US",34.2900,-83.8100,"(770) 536-0000","","mvbcga.org","Baptist","","Traditional","{""day"":""Sunday"",""time"":""9:30 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Children's Ministry, Youth Ministry, Small Groups, Sunday School","English",true,true,true,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Briarwood Church","briarwood-church-gainesville","Community-focused church emphasizing grace and compassion.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","briarwoodringgold.com","Non-Denominational","","Contemporary","{""day"":""Sunday"",""time"":""10:00 AM""}","Community Outreach, Compassion Ministry, Youth Programs","English",true,true,false,true,true,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Christ First International Christian Community Church","christ-first-intl-gainesville","Multicultural Christian community with international ministry focus.","673 Grove Street","Gainesville","GA","30501","US",34.2850,-83.8310,"(770) 536-0000","","","Non-Denominational","","Contemporary","{""day"":""Sunday"",""time"":""10:30 AM""}","Multicultural Ministry, Community Service, Youth Programs","English, Spanish",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
