name,slug,description,address,city,state,zip,country,latitude,longitude,phone,email,website,denomination,church_network,worship_style,service_times,ministries,languages,kids_ministry,youth_ministry,college_ministry,small_groups,online_service,online_service_url,accessibility,parking_info,profile_image_url,gallery_urls,verified,claimed,featured,active
"First Baptist Church of Gainesville","first-baptist-gainesville","Southern Baptist church in downtown Gainesville.","751 Green Street NW","Gainesville","GA","30501","US",34.2840,-83.8270,"(770) 534-7354","","www.fbcgainesville.org","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""9:00 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Sunday School, Youth Ministry, Community Service","English",true,true,false,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Canaan Baptist Church","canaan-baptist-gainesville","Baptist church in North Gainesville.","3125 Antioch Campground Rd","Gainesville","GA","30506","US",34.2950,-83.8400,"(770) 534-4002","","www.cbcgainesville.org","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Youth Programs, Outreach","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Hopewell Baptist Church","hopewell-baptist-gainesville","Established Baptist church on Poplar Springs Road.","5086 Poplar Springs Road","Gainesville","GA","30507","US",34.2600,-83.8500,"(770) 287-3311","","www.hopewell.church","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Community Ministry","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Pinecrest Baptist Church","pinecrest-baptist-gainesville","Baptist congregation on Mountain View Road.","2520 Mountain View Road","Gainesville","GA","30504","US",34.2800,-83.8300,"(770) 536-9154","","www.pinecrestchurch.org","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""9:30 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Sunday School, Youth Ministry, Small Groups","English",true,true,true,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Bible Baptist Church","bible-baptist-gainesville","Independent Baptist church in East Gainesville.","145 Clarks Bridge Rd","Gainesville","GA","30501","US",34.2725,-83.8410,"(770) 534-2456","","","Baptist","Independent","Traditional","{""day"":""Sunday"",""time"":""10:30 AM""}","Sunday School, Bible Study","English",true,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Airline Baptist Church","airline-baptist-gainesville","Baptist church on White Sulphur Road.","3368 White Sulphur Rd","Gainesville","GA","30501","US",34.2800,-83.8200,"(770) 534-5682","","www.airlinebaptist.org","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Youth Ministry","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Springway Baptist Church","springway-baptist-gainesville","Baptist community church on Old Cornelia Highway.","2743 Old Cornelia Hwy","Gainesville","GA","30507","US",34.2700,-83.8450,"(770) 532-8315","","www.springwaybc.org","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""10:30 AM""}","Sunday School, Youth Programs, Community Service","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Poplar Springs Baptist Church","poplar-springs-baptist-gainesville","Established Baptist church with active ministries.","3104 Poplar Springs Road","Gainesville","GA","30501","US",34.2750,-83.8450,"(770) 532-2237","","www.poplarsprings.life","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Sunday School, Youth Ministry, Small Groups, Community Outreach","English",true,true,true,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Pleasant Hill Baptist Church","pleasant-hill-baptist-gainesville","Community Baptist church on Browns Bridge Road.","3650 Browns Bridge Road","Gainesville","GA","30501","US",34.2600,-83.7900,"(770) 534-3108","","www.phbcgainesville.com","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""10:30 AM""}","Sunday School, Community Ministry","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Lakewood Baptist Church","lakewood-baptist-gainesville","Baptist church with strong family ministry.","2235 Thompson Bridge Rd","Gainesville","GA","30501","US",34.2945,-83.8155,"(770) 532-6307","","www.lakewoodlife.org","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""9:30 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Sunday School, Youth Ministry, Small Groups, Family Ministry","English",true,true,true,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Sugar Hill Baptist Church","sugar-hill-baptist-gainesville","Rural Baptist church on Athens Highway.","3250 Athens Hwy","Gainesville","GA","30507","US",34.2500,-83.8450,"(770) 297-9386","","","Baptist","SBC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Community Worship","English",true,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
