name,slug,description,address,city,state,zip,country,latitude,longitude,phone,email,website,denomination,church_network,worship_style,service_times,ministries,languages,kids_ministry,youth_ministry,college_ministry,small_groups,online_service,online_service_url,accessibility,parking_info,profile_image_url,gallery_urls,verified,claimed,featured,active
"Gainesville First United Methodist Church","gainesville-first-umc","Historic UMC with active community programs.","2780 Thompson Bridge Road","Gainesville","GA","30506","US",34.2945,-83.8155,"(770) 536-2341","","www.gfumc.com","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""8:30 AM""},{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Youth Ministry, Community Service, Small Groups","English",true,true,true,true,true,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"St. Paul United Methodist Church","st-paul-umc-gainesville","Community UMC in downtown Gainesville.","404 Washington Street","Gainesville","GA","30501","US",34.2820,-83.8310,"(770) 532-2977","office@stpaulumcga.com","www.stpaulumcgainesville.org","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""11:00 AM""}","Sunday School, Youth Ministry, Community Outreach","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"New Hope United Methodist Church","new-hope-umc-gainesville","Welcoming UMC on Dawsonville Highway.","4815 Dawsonville Hwy","Gainesville","GA","30506","US",34.3200,-83.8100,"(770) 889-7440","info@newhopeumc.org","www.newhopeumc.org","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Youth Programs, Community Outreach","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Antioch United Methodist Church","antioch-umc-gainesville","Community UMC with active ministry.","2922 Antioch Church Rd","Gainesville","GA","30506","US",34.2600,-83.8500,"(770) 536-7351","","www.alwaysantioch.com","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Community Service, Youth Programs","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Dunagan Chapel United Methodist Church","dunagan-chapel-umc-gainesville","Historic rural Methodist chapel.","5540 Timberidge Road","Gainesville","GA","30507","US",34.3100,-83.8400,"(770) 869-7032","","","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""10:30 AM""}","Community Worship, Fellowship","English",false,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Flowery Branch UMC","flowery-branch-umc","United Methodist Church in Flowery Branch.","5212 Spring St","Flowery Branch","GA","30542","US",34.2960,-83.8210,"(770) 967-3441","","www.fbumc.net","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Youth Programs, Community Outreach","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Hoschton United Methodist Church","hoschton-umc","United Methodist Church in Hoschton.","99 Jefferson St","Hoschton","GA","30548","US",34.3120,-83.7700,"(770) 995-0000","","","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Community Worship","English",true,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Cumming First United Methodist Church","cumming-first-umc","Methodist church in Cumming.","770 Canton Hwy","Cumming","GA","30040","US",34.3280,-84.1520,"(770) 887-2900","","www.cfumcga.com","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""8:30 AM""},{""day"":""Sunday"",""time"":""10:45 AM""}","Sunday School, Youth Ministry, Small Groups","English",true,true,false,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Bethelview United Methodist Church","bethelview-umc-cumming","Methodist church in Cumming.","4525 Bethelview Road","Cumming","GA","30040","US",34.3100,-84.1700,"(770) 887-4888","","","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Community Worship","English",true,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Creekside United Methodist Church","creekside-umc-cumming","Methodist church in Cumming.","673 Peachtree Pkwy","Cumming","GA","30041","US",34.3220,-84.1600,"(770) 888-8449","","","Methodist","UMC","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Community Worship","English",true,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
