name,slug,description,address,city,state,zip,country,latitude,longitude,phone,email,website,denomination,church_network,worship_style,service_times,ministries,languages,kids_ministry,youth_ministry,college_ministry,small_groups,online_service,online_service_url,accessibility,parking_info,profile_image_url,gallery_urls,verified,claimed,featured,active
"Grace Episcopal Church","grace-episcopal-gainesville","Historic Episcopal parish with liturgical tradition.","422 Brenau Avenue","Gainesville","GA","30501","US",34.2920,-83.8200,"(770) 536-0126","","www.gracechurchgainesville.org","Episcopal","","Liturgical","{""day"":""Sunday"",""time"":""8:00 AM""},{""day"":""Sunday"",""time"":""10:30 AM""}","Adult Formation, Community Service, Music Ministry","English, Latin",false,false,false,true,false,"","Wheelchair accessible, Accessible restrooms","Parking available","","",true,false,false,true
"First Presbyterian Church","first-presbyterian-gainesville","Historic PCUSA congregation.","800 S Enota Dr NE","Gainesville","GA","30501","US",34.2850,-83.8150,"(770) 532-0136","","www.fpcga.org","Presbyterian","PCUSA","Liturgical","{""day"":""Sunday"",""time"":""10:00 AM""}","Adult Education, Music Ministry, Community Outreach, Sunday School","English",true,false,false,true,false,"","Wheelchair accessible, Accessible restrooms","Parking available","","",true,false,false,true
"Good Shepherd Lutheran Church","good-shepherd-lutheran-gainesville","LCMS Lutheran congregation.","600 S Enota Dr NE","Gainesville","GA","30501","US",34.2850,-83.8160,"(770) 532-2428","","","Lutheran","LCMS","Liturgical","{""day"":""Sunday"",""time"":""10:30 AM""}","Adult Education, Music Ministry, Community Service","English",true,false,false,true,false,"","Wheelchair accessible, Accessible restrooms","Parking available","","",true,false,false,true
"St. Michael Catholic Church","st-michael-catholic-gainesville","Roman Catholic parish.","1440 Pearce Cir","Gainesville","GA","30501","US",34.2875,-83.8320,"(770) 534-3338","","","Catholic","Roman Catholic","Liturgical","{""day"":""Sunday"",""time"":""9:00 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Religious Education, Youth Ministry, Community Service","English, Spanish",true,true,false,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Gainesville Church of Christ","gainesville-church-of-christ","Church of Christ with biblical emphasis.","2815 Wallace Road","Gainesville","GA","30507","US",34.2900,-83.8150,"(678) 928-9350","","www.gcoc.org","Church of Christ","","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Bible Study, Youth Ministry, Community Outreach","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Bethel Church of the Nazarene","bethel-nazarene-gainesville","Nazarene congregation.","1900 Garden Drive","Gainesville","GA","30501","US",34.2850,-83.8250,"(770) 297-9881","","","Church of the Nazarene","Nazarene","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Youth Ministry, Community Service","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Gainesville Church of the Nazarene","gainesville-nazarene-church","First Church of the Nazarene.","1301 Otila Drive","Gainesville","GA","30501","US",34.2875,-83.8300,"(770) 532-8452","","www.gainesvillenaz.org","Church of the Nazarene","Nazarene","Traditional","{""day"":""Sunday"",""time"":""10:30 AM""}","Sunday School, Youth Programs, Community Outreach","English",true,true,false,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Autumn Hill Assembly of God","autumn-hill-ag-gainesville","Assemblies of God congregation.","3681 Cleveland Highway","Gainesville","GA","30501","US",34.2825,-83.7950,"(770) 287-3800","","","Assemblies of God","AG","Contemporary","{""day"":""Sunday"",""time"":""10:30 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Worship Ministry, Youth Programs, Prayer Ministry","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Northwood Assembly of God","northwood-ag-gainesville","Assemblies of God on Thompson Bridge Road.","5053 Thompson Bridge Road","Gainesville","GA","30501","US",34.2950,-83.8100,"(770) 536-8768","","","Assemblies of God","AG","Contemporary","{""day"":""Sunday"",""time"":""10:30 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Worship Ministry, Youth Programs, Prayer Ministry","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Gainesville Seventh-day Adventist Church","gainesville-sda-church","Adventist congregation with health focus.","2695 Old Cornelia Hwy","Gainesville","GA","30507","US",34.2700,-83.8450,"(770) 534-4131","","www.gnvsda.org","Seventh-day Adventist","","Contemporary","{""day"":""Saturday"",""time"":""9:00 AM""}","Sabbath School, Community Service, Youth Ministry","English",true,true,true,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
