name,slug,description,address,city,state,zip,country,latitude,longitude,phone,email,website,denomination,church_network,worship_style,service_times,ministries,languages,kids_ministry,youth_ministry,college_ministry,small_groups,online_service,online_service_url,accessibility,parking_info,profile_image_url,gallery_urls,verified,claimed,featured,active
"Autumn Hill Assembly of God","autumn-hill-ag-gainesville","Pentecostal church emphasizing Holy Spirit empowerment.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","","Assemblies of God","AG","Contemporary","{""day"":""Sunday"",""time"":""10:00 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Youth Ministry, Prayer Ministry, Worship","English",true,true,false,true,false,"","","Parking available","","",true,false,false,true
"Element Church","element-church-gainesville","Contemporary Assemblies of God with modern worship.","1537 Pine Valley Rd","Gainesville","GA","30501","US",34.2700,-83.8200,"(770) 536-0000","","","Assemblies of God","AG","Contemporary","{""day"":""Sunday"",""time"":""10:30 AM""}","Youth Ministry, Worship, Community Outreach","English",true,true,false,true,true,"","Wheelchair accessible","Ample parking available","","",true,false,false,true
"LifePoint Assembly of God","lifepoint-ag-gainesville","Pentecostal congregation with dynamic worship and outreach.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","","Assemblies of God","AG","Contemporary","{""day"":""Sunday"",""time"":""10:00 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Youth Ministry, Worship Ministry, Community Service","English",true,true,false,true,false,"","","Parking available","","",true,false,false,true
"Iglesia Refugio de Salvacion Asambleas de Dios","iglesia-refugio-salvacion-gainesville","Spanish-speaking Assemblies of God congregation.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","","Assemblies of God","AG","Contemporary","{""day"":""Sunday"",""time"":""11:00 AM""}","Youth Ministry, Worship, Community Ministry","Spanish",true,true,false,true,false,"","","Parking available","","",true,false,false,true
"Cornerstone Assembly of God","cornerstone-ag-gainesville","Community-focused Pentecostal church.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","","Assemblies of God","AG","Contemporary","{""day"":""Sunday"",""time"":""10:30 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Youth Ministry, Worship, Prayer Ministry","English",true,true,false,true,false,"","","Parking available","","",true,false,false,true
"Gainesville Church of the Nazarene","gainesville-nazarene","Holiness church emphasizing spiritual development and community.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","gainesvillenaz.org","Church of the Nazarene","Nazarene","Traditional","{""day"":""Sunday"",""time"":""9:30 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Sunday School, Youth Ministry, Outreach","English",true,true,false,true,false,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Bethel Church of the Nazarene","bethel-nazarene-gainesville","Community-oriented Nazarene church.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","","Church of the Nazarene","Nazarene","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Youth Programs, Community Service","English",true,true,false,true,false,"","","Parking available","","",true,false,false,true
"First Presbyterian Church","first-presbyterian-gainesville","Historic Reformed church with liturgical traditions.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","www.fpcga.org","Presbyterian","PCUSA","Liturgical","{""day"":""Sunday"",""time"":""10:00 AM""}","Adult Formation, Music Ministry, Sunday School","English",true,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Westminster Church","westminster-pca-gainesville","Presbyterian Church in America congregation.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","www.wcpca.org","Presbyterian","PCA","Liturgical","{""day"":""Sunday"",""time"":""10:00 AM""}","Adult Education, Music Ministry, Community Outreach","English",true,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Trinity Presbyterian Church","trinity-presbyterian-gainesville","Presbyterian congregation with community focus.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","","Presbyterian","PCUSA","Liturgical","{""day"":""Sunday"",""time"":""10:30 AM""}","Sunday School, Community Service, Music","English",true,false,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
